Points,Domain
6789,https://danluu.com/
5895,https://security.googleblog.com/
5402,https://hacks.mozilla.org/
5217,https://blog.rust-lang.org/
4486,https://research.googleblog.com/
3846,https://code.facebook.com/posts/
3171,https://drewdevault.com/
2701,https://blog.cloudflare.com/
2562,https://facebook.github.io/react/blog/
2526,http://www.brendangregg.com/blog/
2361,https://aws.amazon.com/blogs/aws/
2349,https://githubengineering.com/
2337,https://dave.cheney.net/
2319,https://stripe.com/blog
2168,https://blogs.msdn.microsoft.com/dotnet/
2111,https://blogs.windows.com/msedgedev/
2064,https://blog.discordapp.com/
2037,http://mattwarren.org/
2020,https://blog.codinghorror.com/
1952,https://blogs.msdn.microsoft.com/oldnewthing/
1948,https://blog.jessfraz.com/
1881,https://aphyr.com/
1877,https://www.cockroachlabs.com/blog/
1796,http://nullprogram.com/
1701,https://engineering.instagram.com/
1691,https://blog.golang.org/
1684,https://blogs.dropbox.com/tech/
1630,https://blog.acolyer.org/
1516,https://www.confluent.io/blog
1433,https://tomassetti.me/
1398,https://jvns.ca/
1390,https://martinfowler.com/
1375,https://blog.cryptographyengineering.com/
1224,http://blog.atom.io/
1211,https://ipfs.io/blog/
1199,https://blog.filippo.io/
1132,https://kev.inburke.com/
1109,http://www.evanmiller.org/
1064,https://medium.com/airbnb-engineering
992,https://slack.engineering/
938,https://zapier.com/engineering/
919,http://www.yegor256.com/
917,http://dragan.rocks
901,https://blog.codeship.com/
886,https://snyk.io/blog
875,https://blog.jetbrains.com/kotlin/
852,https://developer.ibm.com/dwblog/
773,http://www.windytan.com/
770,https://spin.atomicobject.com/
720,https://philipwalton.com/
698,https://nickcraver.com/blog/
669,https://blog.nelhage.com/
619,http://eli.thegreenplace.net/
612,https://idea.popcount.org/
593,https://hookrace.net/
580,https://blog.algolia.com/
572,http://www.red-lang.org
561,http://lambda-the-ultimate.org/
558,https://engineering.riotgames.com/
551,https://zachholman.com/
540,https://joshtronic.com/
520,https://medium.com/netflix-techblog
517,http://highscalability.com/
