Points,Domain
13340,https://hacks.mozilla.org/
12784,https://code.facebook.com/posts/
10870,https://stripe.com/blog
9472,https://blog.cloudflare.com/
8832,http://raganwald.com/
8564,https://security.googleblog.com/
8544,https://blog.rust-lang.org/
7952,https://danluu.com/
7253,https://aws.amazon.com/blogs/aws/
6777,https://research.googleblog.com/
6145,https://drewdevault.com/
6139,http://highscalability.com/
6097,http://www.hanselman.com/blog/
6039,https://blog.golang.org/
5867,http://lucumr.pocoo.org/
5467,https://facebook.github.io/react/blog/
5374,http://blog.atom.io/
5354,http://www.evanmiller.org/
5344,http://matt.might.net/articles/
5040,http://www.brendangregg.com/blog/
5018,https://blogs.windows.com/msedgedev/
5010,http://prog21.dadgum.com/
4917,https://aphyr.com/
4852,https://blogs.dropbox.com/tech/
4841,https://blogs.msdn.microsoft.com/dotnet/
4761,http://www.catonmat.net/blog/
4466,http://blog.fogus.me/
4182,https://jvns.ca/
4169,https://blog.filippo.io/
3895,http://norvig.com/
3815,https://rachelbythebay.com/w/
3808,http://nullprogram.com/
3801,https://www.cockroachlabs.com/blog/
3606,https://blogs.msdn.microsoft.com/oldnewthing/
3604,https://blog.acolyer.org/
3563,http://blog.parse.com/
3107,http://mattwarren.org/
3079,https://blog.jessfraz.com/
2953,https://githubengineering.com/
2903,http://www.windytan.com/
2857,https://slack.engineering/
2734,https://spin.atomicobject.com/
2667,https://blog.codinghorror.com/
2664,https://dave.cheney.net/
2638,https://brendaneich.com/
2619,http://lambda-the-ultimate.org/
2604,https://engineering.instagram.com/
2572,https://www.mattcutts.com/blog/
2568,http://thedailywtf.com/
2531,http://blog.robertelder.org/
2523,https://realm.io/news/
2499,http://eli.thegreenplace.net/
2291,https://zachholman.com/
2248,http://patshaughnessy.net/
2237,https://kev.inburke.com/
2227,https://blog.cryptographyengineering.com/
2144,https://blog.discordapp.com/
2113,https://idea.popcount.org/
2077,https://martinfowler.com/
2028,https://www.joelonsoftware.com/
2010,http://preshing.com/
1746,http://www.yegor256.com/
1686,https://databricks.com/blog
1661,https://hookrace.net/
